ref,PDF_id,article_type,authors,article_title,source_title,pub_year,doi,lead_author_institution_type,lead_author_affiliation,study_country,study_region,koaro,inanga, giant_kokopu,shortjaw_kokopu,banded_kokopu,spotted_galaxias,spatial_extent,spatial_extent_km,temporal,period_yrs,preiod_frq,survey,model,experiment,ex_field,ex_lab,review,review_method,method_other,diet,predation,competition,metabolism,disease,parasites,behaviour,movement ,migration,morphology,evolution,spawning,riparain,growth,genetics,eggs,larvae,juveniles,adults,demographics,sex_ratio,fecundity,mortality,age_size_structure,abundance_density,physiochemical_habitat,landuse,aquaculture,harvesting,method_development,conservation,restoration,invasive species,climate_change,stream,lake,ocean,landlocked,notes
143,211,J,Hansen EA. Closs GP.,Diel Activity and Home Range Size in Relation to Food Supply in a Drift-Feeding Stream Fish,Behavioral Ecology,2005,10.1093/beheco/ari036,tertiary,UoO,NZ,Otago,n,n,y,n,n,n,reach,1,y,0.83333333,10,y,n,y,y,n,n,na,prey removal,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
70,113,J,Wylie MJ. Forbes EL. Lokman PM.,"Ovarian Biopsy: a Non-Terminal Method to Determine Reproductive Status in Giant Kokopu, Galaxias Argenteus (Gmelin 1789)",New Zealand Veterinary Journal,2013,10.1080/00480169.2012.740657,tertiary,UoO,NZ,Southland,n,n,y,n,n,n,lab,na,y,0.83333333,5,n,n,y,n,y,n,na,biopsy,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,
67,107,J,Milano D. Aigo JC. Macchi PJ.,"Diel Patterns in Space Use, Food and Metabolic Activity of Galaxias Maculatus (Pisces: Galaxiidae) in the Littoral Zone of a Shallow Patagonian Lake",Aquatic Ecology,2013,10.1007/s10452-013-9443-2,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,lab,na,y,0.916666663,5,y,n,y,n,y,n,na,metabolic rates,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,na,na,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,y,
26,37,J,Rojo JH. Figueroa DE. Boy CC.,"Age and Growth of Diadromous Galaxias Maculatus (Jenyns, 1842) in Southernmost South America (54a Degrees s) Including Contribution of Age Classes to Reproduction",Environmental Biology of Fishes,2018,10.1007/s10641-018-0765-8,tertiary,Universidad Nacional de Mar del Plata,Argentina,Patagonia,n,y,n,n,n,n,reach,0.01,y,1,12,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
277,371,J,McDowall RM. Mitchell CP. Brothers EB.†,Age at migration from the sea of juvenile Galaxias in New Zealand (Pisces: Galaxiidae),Bulletin of marine science,1994,keep,CRI,NIWA,NZ,"Northland, Waikato, BoP, Hawkes Bay, Taranaki, West Coast",y,y,n,n,y,n,regional,960,y,1,12,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
113,177,J,Barriga JP. Battini MA. Cussac VE.,Annual Dynamics Variation of a Landlocked Galaxias Maculatus (Jenyns 1842) Population in a Northern Patagonian River: Occurrence of Juvenile Upstream Migration,Journal of Applied Ichthyology,2007,10.1111/j.1439-0426.2006.00820.x,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,250,y,1,14,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,y,n,n,n,y,n,n,y,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,n,n,y,y,n,y,
229,310,J,Kusabs IA. Swales S.,"Diet and Food Resource Partitioning in Koaro, Galaxias Brevipinnis (G„ºnther), and Juvenile Rainbow Trout, Oncorhynchus Mykiss (Richardson), in Two Taupo Streams, New Zealand",New Zealand Journal of Marine and Freshwater Research,1991,10.1080/00288330.1991.9516485,tertiary,UoW,NZ,Waikato,y,n,n,n,n,n,basin,20,y,1,4,y,n,n,n,n,n,na,na,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,na,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,
73,116,J,Blair JM. Hicks BJ. Pitkethley R. Ling N.,Diet of Rainbow Trout in Lake Rotoiti: An Energetic Perspective,New Zealand Journal of Marine and Freshwater Research,2012,10.1080/00288330.2012.707660,tertiary,UoW,NZ,BoP,y,n,n,n,n,n,basin,na,y,1,4,y,n,n,n,n,y,na,na,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,?,
297,391,J,Morgan DL.,"Distribution and biology of Galaxias truttaceus (Galaxiidae) in south-western Australia, including first evidence of parasitism of fishes in Western Australia by Ligula intestinalis (Cestoda)",Environmental Biology of Fishes,2003,10.1023/A:1023645506913,tertiary,Murdoch university,Australia,Western Australia,n,n,n,n,n,y,basin,0.5,y,1,12,y,n,n,n,n,n,na,na,y,n,n,n,n,y,n,n,y,y,n,y,n,y,n,n,y,y,y,y,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,y,n,n,lots of demographic info
50,80,J,Akbaripasand A. Krkosek M. Lokman PM. Closs GP.,"Does Social Status Within a Dominance Hierarchy Mediate Individual Growth, Residency and Relocation?",Oecologia,2014,10.1007/s00442-014-3038-z,tertiary,UoO,NZ,Otago,n,n,n,n,y,n,regional,3.5,y,1,12,y,n,n,n,n,n,na,na,y,n,y,n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,
