"ref","PDF_id","article_type","authors","article_title","source_title","pub_year","doi","lead_author_institution_type","lead_author_affiliation","study_country","study_region","koaro","inanga","giant_kokopu","shortjaw_kokopu","banded_kokopu","spotted_galaxias","spatial_extent","spatial_extent_km","temporal","period_yrs","preiod_frq","survey","model","experiment","ex_field","ex_lab","review","review_method","method_other","diet","predation","competition","metabolism","disease","parasites","behaviour","movement","migration","morphology","evolution","spawning","riparain","growth","genetics","eggs","larvae","juveniles","adults","demographics","sex_ratio","fecundity","mortality","age_size_structure","abundance_density","physiochemical_habitat","landuse","aquaculture","harvesting","method_development","conservation","restoration","invasive.species","climate_change","stream","lake","ocean","landlocked"
176,247,"J","FLORES V. SEMENAS L.","Infection Patterns of Tylodelphys Barilochensis and t-Crubensis (Trematoda : Diplostomatidae) Metacercariae in Galaxias Maculatus (Osmeriformes : Galaxiidae) from Two Patagonian Lakes and Observations on their Geographical Distribution in the Southern Andean Region, Argentina","Journal of Parasitology",2002,"10.1645/0022-3395(2002)088[1135:IPOTBA]2.0.CO;2","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","y","2","8","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","y"
177,248,"J","JOWETT IG.","In-Stream Habitat Suitability Criteria for Feeding Inanga (Galaxias Maculates)","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517096","CRI","NIWA","NZ","Waikato","n","y","n","n","n","n","regional","na","n","na","na","y","n","n","n","n","n","na","na","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
178,249,"J","MCDOWALL RM.","Accumulating Evidence for a Dispersal Biogeography of Southern Cool Temperate Freshwater Fishes","Journal of Biogeography",2002,"10.1046/j.1365-2699.2002.00670.x","CRI","NIWA","Southern hemispere","na","y","y","y","y","y","n","international","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","y","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","","n","n","n","n","n","na","na","na","na"
179,250,"J","ROWE D. KONUI G. CHRISTIE KD.","Population Structure, Distribution, Reproduction, Diet, and Relative Abundance of Koaro (Galaxias Brevipinnis) in a New Zealand Lake","Journal of the Royal Society of New Zealand",2002,"10.1080/03014223.2002.9517695","CRI","NIWA","NZ","Waikato","y","n","n","n","n","n","basin","10","y","0.666666664","2","y","n","n","n","n","n","na","na","y","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","y","y","y","y","y","n","n","y","n","y","n","n","n","n","n","n","n","n","n","y","n","n"
180,251,"J","ROWE D. SMITH J. QUINN J. BOOTHROYD I.","Effects of Logging with and without Riparian Strips on Fish Species Abundance, Mean Size, and the Structure of Native Fish Assemblages in Coromandel, New Zealand, Streams","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517071","CRI","NIWA","NZ","Waikato","n","n","n","n","y","n","regional","10","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","n","n","n"
181,252,"J","ROWE D. SMITH J. WILLIAMS E.","Effects of Turbidity on the Feeding Ability of Adult, Riverine Smelt (Retropinna Retropinna) and Inanga (Galaxias Maculatus)","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517077","CRI","NIWA","NZ","Waikato","n","y","n","n","n","n","lab","na","n","na","na","n","n","y","n","y","n","na","feeding","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
182,253,"J","WATERS JM. SHIRLEY M. CLOSS GP.","Hydroelectric Development and Translocation of Galaxias Brevipinnis: a Cloud at the End of the Tunnel?","Canadian Journal of Fisheries and Aquatic Sciences",2002,"10.1139/F01-195","tertiary","UoO","Australia","Victoria, NSW","y","n","n","n","n","n","regional","720","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","y"
183,254,"J","WHITEHEAD AL. DAVID B. CLOSS GP.","Ontogenetic Shift in Nocturnal Microhabitat Selection by Giant Kokopu in a New Zealand Stream","Journal of Fish Biology",2002,"10.1006/jfbi.2002.2147","tertiary","UoO","NZ","Otago","n","n","y","n","n","n","basin","10","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
184,255,"J","MCDOWALL RM.","Getting the Measure of Freshwater Fish Habitat in New Zealand","Aquatic Ecosystem Health and Management",2001,"10.1080/146349801317276026","CRI","NIWA","NZ","na","y","y","y","y","y","n","regional","na","n","na","na","n","n","n","n","n","y","narrative","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","na","n","n","n","n","n","n","y","y","n","y","n","n","n","y","n","y","y","n","n"
185,256,"J","WATERS JM. WALLIS GP.","Cladogenesis and Loss of the Marine Life-History Phase in Freshwater Galaxiid Fishes (Osmeriformes: Galaxiidae)","Evolution",2001,"10.1111/j.0014-3820.2001.tb00791.x","tertiary","UoO","Southern hemispere","na","y","n","n","n","y","n","international","1800","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
186,257,"J","BAKER C. MONTGOMERY JC.","Sensory Deficits Induced by Cadmium in Banded Kokopu, Galaxias Fasciatus, Juveniles","Environmental Biology of Fishes",2001,"10.1023/A:1012290912326","tertiary","UoA","NZ","Waikato","n","n","n","n","y","n","lab","0.002","n","na","na","n","n","y","n","y","n","na","odour","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
187,258,"J","BAKER C. MONTGOMERY JC.","Species-Specific Attraction of Migratory Banded Kokopu Juveniles to Adult Pheromones","Journal of Fish Biology",2001,"10.1006/jfbi.2000.1528","tertiary","UoA","NZ","Waikato","n","n","n","n","y","n","lab","0.002","n","na","na","n","n","y","n","y","n","na","odour","n","n","n","n","n","n","y","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
188,259,"J","RICHARDSON J. ROWE D. SMITH J.","Effects of Turbidity on the Migration of Juvenile Banded Kokopu (Galaxias Fasciatus) in a Natural Stream","New Zealand Journal of Marine and Freshwater Research",2001,"10.1080/00288330.2001.9516989","CRI","NIWA","NZ","Waikato","n","n","n","n","y","n","reach","0.008","n","na","na","n","n","y","y","n","n","na","sediment","n","n","n","n","n","n","y","y","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
189,260,"J","VIOZZI G. GUTIERREZ PA.","Philureter Trigoniopsis, a New Genus and Species (Dactylogyridae, Ancyrocephalinae) from the Ureters and Urinary Bladder of Galaxias Maculatus (Osmeriformes : Galaxiidae) in Patagonia (Argentina)","Journal of Parasitology",2001,"10.2307/3285057","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","na"
190,263,"J","ROWE D. HICKS M. RICHARDSON J.","Reduced Abundance of Banded Kokopu (Galaxias Fasciatus) and Other Native Fish in Turbid Rivers of the North Island of New Zealand","New Zealand Journal of Marine and Freshwater Research",2000,"10.1080/00288330.2000.9516956","CRI","NIWA","NZ","BoP, Whanganui, Hawkes Bay, Waikato","n","n","n","n","n","n","regional","250","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
191,266,"J","ALLIBONE R. CASKEY D.","Timing and Habitat of Koaro (Galaxias Brevipinnis) Spawning in Streams Draining Mt Taranaki, New Zealand","New Zealand Journal of Marine and Freshwater Research",2000,"10.1080/00288330.2000.9516960","CRI","NIWA","NZ","Waikato","y","n","n","n","n","n","reach","0.05","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
192,267,"J","BATTINI M. ROCCO V. LOZADA M. TARTAROTTI B. ZAGARESE HE.","Effects of Ultraviolet Radiation on the Eggs of Landlocked Galaxias Maculatus (Galaxiidae, Pisces) in Northwestern Patagonia","Freshwater Biology",2000,"10.1046/j.1365-2427.2000.00600.x","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","regional","0.6","n","na","na","n","n","y","y","n","n","n","UV exposure","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
193,268,"J","CHADDERTON WL. ALLIBONE R.","Habitat Use and Longitudinal Distribution Patterns of Native Fish from a Near Pristine Stewart Island, New Zealand, Stream","New Zealand Journal of Marine and Freshwater Research",2000,"10.1080/00288330.2000.9516951","govt","DoC","NZ","Southland","y","n","y","n","y","n","reach","5","n","na","na","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","n","n","y","n","n","n"
194,269,"J","GLOVA GJ. SAGAR PM.","Summer Spatial Patterns of the Fish Community in a Large, Shallow, Turbid Coastal Lake","New Zealand Journal of Marine and Freshwater Research",2000,"10.1080/00288330.2000.9516953","CRI","NIWA","NZ","Canterbury","n","y","n","n","n","n","basin","25","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","y","y","n","n","n","n","n","n","n","n","n","y","n","n"
195,270,"J","MCINTOSH AR.","Habitat- And Size-Related Variations in Exotic Trout Impacts on Native Galaxiid Fishes in New Zealand Streams","Canadian Journal of Fisheries and Aquatic Sciences",2000,"10.1139/cjfas-57-10-2140","tertiary","UoC","NZ","Canterbury","y","n","n","n","n","n","basin","40","n","na","na","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n","n"
