"ref","PDF_id","article_type","authors","article_title","source_title","pub_year","doi","lead_author_institution_type","lead_author_affiliation","study_country","study_region","koaro","inanga","giant_kokopu","shortjaw_kokopu","banded_kokopu","spotted_galaxias","spatial_extent","spatial_extent_km","temporal","period_yrs","preiod_frq","survey","model","experiment","ex_field","ex_lab","review","review_method","method_other","diet","predation","competition","metabolism","disease","parasites","behaviour","movement","migration","morphology","evolution","spawning","riparain","growth","genetics","eggs","larvae","juveniles","adults","demographics","sex_ratio","fecundity","mortality","age_size_structure","abundance_density","physiochemical_habitat","landuse","aquaculture","harvesting","method_development","conservation","restoration","invasive.species","climate_change","stream","lake","ocean","landlocked"
249,331,"J","HINE. PM.","Acanthocephalus-Galaxii Nsp Parasitic in Galaxias-Maculatus (Jenyns, 1842) in Waimeha Stream, New-Zealand","Journal of the Royal Society of New Zealand",1977,"10.1080/03036758.1977.10419335","govt","MAF","NZ","Wellington","n","y","n","n","n","n","reach","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
250,332,"J","HINE. PM.","Myxobolus-Iucundus n-Sp (Sporozoa-Myxosporidea) Parasitic in Galaxias-Maculatus (Jenyns, 1842) in New-Zealand","Journal of the Royal Society of New Zealand",1977,"10.1080/03036758.1977.10427157","govt","MAF","NZ","Canterbury","n","y","n","n","n","n","reach","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
251,334,"J","MCDOWALL RM. ROBERTSON DA. SAITO R.","Occurrence of Galaxiid Larvae and Juveniles in the Sea","New Zealand Journal of Marine and Freshwater Research",1975,"10.1080/00288330.1975.9515541","govt","MAF","NZ","na","n","y","n","n","n","n","regional","1200","y","1.25","48","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n"
252,335,"J","OTS JP. ELDON GA.","Downstream Movement of Fry of Galaxias Fasciatus Gray (Note)","New Zealand Journal of Marine and Freshwater Research",1975,"10.1080/00288330.1975.9515549","govt","MAF","NZ","Wellington","n","n","n","n","y","n","lab","400","y","0.08333333","na","y","n","y","n","y","n","na","na","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y"
253,337,"J","CHESSMAN BC. WILLIAMS WD.","Salinity Tolerance and Osmoregulatory Ability of Galaxias-Maculatus (Jenyns) (Pisces, Salmoniformes, Galaxiidae)","Freshwater Biology",1975,"10.1111/j.1365-2427.1975.tb00127.x","tertiary","Monash University","Australia","Victoria","y","n","n","n","n","n","lab","na","n","na","na","n","n","y","n","y","n","na","toxocology","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
254,338,"J","MERRILEES MJ.","Karyotype of Galaxias Maculatus from New-Zealand","Copeia",1975,"10.2307/1442422","tertiary","Massey","NZ","Manawatu-Whanganui","n","y","n","n","n","n","na","na","n","na","na","y","n","n","n","n","n","na","Karyotype","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
255,339,"J","POLLARD DA.","The Biology of a Landlocked Form of the Normally Catadromous Salmoniform Fish Galaxias Maculatus (Jenyns) Vi. Effects of Cestode and Nematode Parasites","Marine and Freshwater Research",1974,"10.1071/MF9740105","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
256,340,"J","GOSZTONYI AE. MCDOWALL RM.","Zoogeography of Galaxias-Maculatus in South-America","Copeia",1974,"10.2307/1442601","govt","Instituto de Investigaciones Biofisicas","Argentina","Patagonia","n","y","n","n","n","n","reach","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
257,341,"J","HUGO CC.","Migration of Galaxias Maculatus (Jenyns) (Galaxiidae, Pisces) in Valdivia Estuary, Chile","Hydrobiologia",1973,"10.1007/BF00015353","na","na","Chile"," Los RÌos","n","y","n","n","n","n","basin","30","y","1","4","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","n"
258,342,"J","WEBB BF.","Fish Populations of the Avon‚Äêheathcote Estuary:5. Records of less Common Species","New Zealand Journal of Marine and Freshwater Research",1973,"10.1080/00288330.1973.9515478","tertiary","UoC","NZ","Canterbury","n","y","n","n","n","n","regional","na","y","1","9","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","na","na","n"
259,343,"J","MCDOWALL RM.","The Species Problem in Freshwater Fishes and the Taxonomy of Diadromous and Lacustrine Populations of Galaxias Maculatus (Jenyns)","Journal of the Royal Society of New Zealand",1972,"10.1080/03036758.1972.10421820","govt","MAF","NZ","Canterbury","n","y","n","n","n","n","international","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","y"
260,344,"J","MCDOWALL RM.","The Galaxiid Fishes of South America","Zoological Journal of the Linnean Society",1971,"10.1111/j.1096-3642.1971.tb00751.x","CRI","NIWA","Chile, Argentina","na","n","y","n","n","n","n","international","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","","n","n","n","n","n","y","y","n","y"
261,345,"J",NA,"Galaxiid Fishes: Speciation in New Zealand","Nature",1970,"10.1038/2271192b0","na","na","NZ","na","n","y","n","n","n","n","international","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","y","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n"
262,346,"J","BENZIE V.","a Consideration of the Whitebait Stage of Galaxias Maculatus Attenuatus (Jenyns)","New Zealand Journal of Marine and Freshwater Research",1968,"10.1080/00288330.1968.9515255","tertiary","UoC","NZ","Canterbury","n","y","n","n","n","n","reach","5","y","0.208333333","38","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","n"
263,347,"J","BENZIE V.","Stages in the Normal Development of Galaxias Maculatus Attenuatus (Jenyns)","New Zealand Journal of Marine and Freshwater Research",1968,"10.1080/00288330.1968.9515260","tertiary","UoC","NZ","na","n","y","n","n","n","n","na","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","","n","n","n","n","na","na","na","na"
264,348,"J","WOODS CS.","Growth Characteristics, Pigmentation, and the Identificaton of Whitebait (Galaxias Spp., Salmonoidea)","New Zealand Journal of Marine and Freshwater Research",1968,"10.1080/00288330.1968.9515233","tertiary","UoC","NZ","Northland, West Coast, Wellington, Otago, Nelson, Manawatu-Whanganui","y","y","y","y","y","n","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
265,358,"J","ORCHARD S. SCHIEL DR.","Whitebait conservation and protected areas at non-tidal rivermouths: integrating biogeography and environmental controls on ?nanga (Galaxias maculatus) spawning grounds","bioRxiv",2020,"10.1101/2020.11.06.372243","tertiary","UoC","NZ","Canterbury","n","y","n","n","n","n","regional","45","y","0.333333332","4","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","y","y","n","n","y","n","n","n","y","n","y","n","n","y","y","n","n","n","n","n","n","n","n","y","n","n","n"
267,360,"J","MCDOWALL RM.","The galaxiid fishes of New Zealand","Bulletin of the Museum of Comparative Zoology, Harvard",1970,"keep","govt","NZ Marine Department","NZ","Southland, Otago, Canterbury, West Coast, Nelson-Tasman, Marlborough, Wellington, Manawatu-Whanganui, Taranaki, Hawke's Bay, BoP, Waikato, Auckland","y","y","y","y","y","n","regional","1400","n","na","na","y","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","n","n","y","n","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","y","y","n","y"
268,361,"J","STOKELL G.","A preliminary investigation of the systematics of some Tasmanian Galaxiidae","Papers and Proceedings of the Royal Society of Tasmania",1966,"keep","na","na","Australia","Tasmania","n","y","n","n","n","n","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
269,363,"J","ANDREWS AP.","A Tasmanian Landlocked Population of the Nnormally Diadromous Fish Galaxias maculatus","Papers and Proceedings of the Royal Society of Tasmania",1982,"10.26749/rstpp.116.85","govt","Tasmanian Museum","Australia","Tasmania","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","nn","n","n","n","n","n","n","y","n","y"
270,364,"J","ANDREWS AP.","A Revision of the family Galaxiidae (Pisces) in Tasmania","Australian Journal of Marine and Freshwater Research",1982,"10.1071/MF9760297","govt","Tasmanian Museum","Australia","Tasmania","y","y","n","n","n","y","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
271,365,"J","POLLARD DA.","The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) I. Life cycle and origin","Australian Journal of Marine and Freshwater Research",1971,"10.1071/MF9710091","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","basin","na","y","3","8","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n","y","n","y","y","y","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
272,366,"J","POLLARD DA.","The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) II. Morphology and systematic relationships","Australian Journal of Marine and Freshwater Research",1971,"10.1071/MF9710125","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
273,367,"J","POLLARD DA.","The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) III. Structure of the gonads","Australian Journal of Marine and Freshwater Research",1972,"10.1071/MF9720017","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
274,368,"J","POLLARD DA.","The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) IV. Nutritional cycle","Australian Journal of Marine and Freshwater Research",1972,"10.1071/MF9720039","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","basin","na","y","1.333333332","15","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
275,369,"J","POLLARD DA.","The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) V. Composition of the diet","Australian Journal of Marine and Freshwater Research",1973,"10.1071/MF9730281","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","basin","na","y","2","4","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
276,370,"J","MILANO D. LOZADA M. ZAGARESE HE.†","Predator-induced reaction patterns of landlocked Galaxias maculatus to visual and chemical cues","Aquatic ecology†",2010,"10.1007/s10452-010-9312-1","govt","INIBIOMA-CONICETUNCo","Argentina","Patagonia","n","y","n","n","n","n","reach","na","n","na","na","n","n","y","n","y","n","na","metabolic rates","n","y","n","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
277,371,"J","MCDOWALL RM. MITCHELL CP. BROTHERS EB.†","Age at migration from the sea of juvenile Galaxias in New Zealand (Pisces: Galaxiidae)","Bulletin of marine science",1994,"keep","CRI","NIWA","NZ","Northland, Waikato, BoP, Hawkes Bay, Taranaki, West Coast","y","y","n","n","y","n","regional","960","y","1","12","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","y","n","n","n","y","y","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
278,372,"J","CHESSMAN BC. WILLIAMS WD.","The distribution of fish in inland saline waters of Victoria, Australia","Australian Journal of Marine and Freshwater Research",1974,"10.1071/MF9740167","tertiary","Monash University","Australia","Victoria","n","y","n","n","n","n","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","y","n","n"
279,373,"J","HABIT E. PIEDRA P. RUZZANTE D. WALDE S. BELK M. CUSSAC V. GONZALEZ J. COLIN N.","Changes in the distribution of native fishes in response to introduced species and other anthropogenic effects","Glob. Ecol. Biogeogr",2010,"10.1111/j.1466-8238.2010.00541.x","tertiary","Universidad de ConcepciÛn","Chile","Atacama, Coquimbo, ValparaÌso, O'Higgins, Maule, —uble, BiobÌo, AraucanÌa, Los RÌos, Los Lagos, AysÈn, Magallanes","n","y","n","n","n","n","regional","3000","y","42","na","y","n","n","n","n","n","na","na","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y","y","n","y"
280,374,"J","AL“ D. CORREA C. SAMANIEGO H. KRABBENHOFT CA. TURNER TF.","Otolith microchemistry and diadromy in Patagonian river fishes.","PeerJ",2019,"10.7717/peerj.6149","tertiary","Pontificia Universidad CatÛlica de Chile","Chile","Los Lagos","n","y","n","n","n","n","reach","na","n","na","na","y","n","n","n","n","n","na","otolith microchemistry","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
281,375,"J","AMTSTAETTER F. YEN JDL. HALE R. KOSTER W. O'CONNOR J. STUART I. TONKIN Z.","Elevated river discharge enhances the immigration of juvenile catadromous and amphidromous fishes into temperate coastal rivers","Journal of Fish Biology",2021,"10.1111/jfb.14699","govt","Arthur Rylah Institute for Environmental Research","Australia","Victoriua","y","y","n","n","n","y","regional","200","y","1","27","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
282,376,"J","ANDREWS AP.","A Revision of the Family Galaxiidae (Pisces) in Tasmania","Marine and Freshwater Research",1976,"10.1071/MF9760297","govt","Tasmanian Museum","Australia","Tasmania","y","y","n","n","n","y","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
283,377,"J","AULT TR. WHITE RW.","Effects of habitat structure and the presence of brown trout on the population density of Galaxias truttaceus in Tasmania, Australia","Transactions of the American Fisheries Society",1994,"10.1577/1548-8659(1994)123[0939:EOHSAT]2.3.CO;2","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n","n"
284,378,"J","CLOSE PG. RYAN TJ. MORGAN DL. BEATTY SJ. LAWRENCE CS.","First record of 'climbing' and 'jumping' by juvenile Galaxias truttaceus Valenciennes, 1846 (Galaxiidae) from south-western Australia","Australian Journal of Zoology",2014,"10.1071/ZO14004","tertiary","University of Western Australia","Australia","Western Australia","n","n","n","n","n","y","reach","0.001","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
285,379,"J","COLMAN JG.","New records of Galaxias truttaceus (Galaxiidae) in the Kent River catchment, southwestern Australia","Journal of the Royal Society of Western Australia",2010,"keep","na","na","Australia","Western Australia","n","n","n","n","n","y","reach","0.25","y","5","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","na"
286,380,"J","CROOK DA. WHITE RW.","Evaluation of subcutaneously implanted visual implant tags and coded wire tags for marking and benign recovery in a small scaleless fish,Galaxias truttaceus (Pisces: Galaxiidae)","Marine and Freshwater Research",1995,"10.1071/MF9950943","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","reach","0.3","y","0.3","4","y","n","n","n","n","n","na","tagging","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","y","n","n","n"
287,381,"J","DAVIES PE.","The toxicology and metabolism of chlorothalonil in fish. III. Metabolism, enzymatics and detoxication in Salmo spp. and Galaxias spp.","Aquatic Toxicology",1985,"10.1016/0166-445X(85)90045-1","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","reach","na","y","0.01","3","n","n","y","n","y","n","na","toxocology","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
288,382,"J","DAVIES PE. WHITE RW.","The toxicology and metabolism of chlorothalonil in fish. I. Lethal levels for Salmo gairdneri, Galaxias maculatus, G. truttaceus and G. auratus and the fate of 14C-TCIN in S. gairdneri","Aquatic Toxicology",1985,"10.1016/0166-445X(85)90038-4","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","reach","na","y","0.01","3","n","n","y","n","y","n","na","toxocology","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
290,383,"J","FULTON W.","A description of a new species of galaxias (Pisces: Galaxiidae) from tasmania","Marine and Freshwater Research",1978,"10.1071/MF9780109","govt","Inland fisheries commission","Australia","Tasmania","n","n","n","n","n","y","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
292,385,"J","HUMPHRIES P.","Morphological variation in diadromous and landlocked populations of the spotted galaxias, Galaxias truttaceus, in Tasmania, south-eastern Australia","Environmental Biology of Fishes",1990,"10.1007/BF00001939","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","regional","180","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","y"
293,386,"J","HUMPHRIES P.","Variation in the life history of diadromous and landlocked populations of the spotted galaxias, galaxias truttaceus valenciennes, in Tasmania","Marine and Freshwater Research",1989,"10.1071/MF9890501","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","regional","180","y","1","12","y","n","n","n","n","n","n","na","n","n","n","n","n","n","n","n","n","y","n","y","n","y","n","y","y","y","y","y","n","y","n","y","n","y","n","n","n","n","n","n","n","n","y","y","n","y"
294,387,"J","JOHNSON CR. WHITE RW.","The variation in non-specific esterases in the white muscles of two species of Galaxias in Tasmania","Biochemical Systematics and Ecology",1981,"10.1016/0305-1978(81)90046-6","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
295,388,"J","JOHNSON CR. WHITE RW. BICK YAE.","Cytotaxonomy of seven species of Galaxias (Pisces: Galaxiidae) in Tasmania","Genetica",1981,"10.1007/BF00126925","tertiary","University of Tasmania","Australia","Tasmania","y","y","n","n","n","y","na","na","n","na","na","y","n","n","n","n","n","n","Karyotype","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","na"
296,389,"J","LAWRENCE C. RUTHERFORD N. HAMILTON R. MEREDITH D.","Experimental evidence indicates that native freshwater fish outperform introduced Gambusia in mosquito suppression when water temperature is below 25∞C","Hydrobiologia",2016,"10.1007/s10750-015-2470-3","govt","Department of Fisheries","Australia","Western Australia","n","n","n","n","n","y","reach","0.001","n","na","na","n","n","y","n","y","n","na","feeding","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n","n","n"
297,391,"J","MORGAN DL.","Distribution and biology of Galaxias truttaceus (Galaxiidae) in south-western Australia, including first evidence of parasitism of fishes in Western Australia by Ligula intestinalis (Cestoda)","Environmental Biology of Fishes",2003,"10.1023/A:1023645506913","tertiary","Murdoch university","Australia","Western Australia","n","n","n","n","n","y","basin","0.5","y","1","12","y","n","n","n","n","n","na","na","y","n","n","n","n","y","n","n","y","y","n","y","n","y","n","n","y","y","y","y","n","y","n","y","n","y","n","n","n","n","n","n","n","n","n","y","n","n"
298,393,"J","MORGAN DL. BEATTY SJ. CLOSE PG. ALLEN MG. UNMACK PJ. HAMMER MP. ADAMS M.","Resolving the taxonomy, range and ecology of biogeographically isolated and critically endangered populations of an Australian freshwater galaxiid, Galaxias truttaceus","Pacific Conservation Biology",2016,"10.1071/PC15043","tertiary","Murdoch university","Australia","Western Australia, Tasmania, South Australia, Victoria","n","n","n","n","n","y","regional","2300","y","4","5","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","y","y","y","n","n","y","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","","n","y","y","n","y"
299,394,"J","OVENDEN JR. WHITE RW. ADAMS M.","Mitochondrial and allozyme genetics of incipient speciation in an landlocked population of Galaxias truttaceus (Pisces: Galaxiidae)","Genetics",1990,"keep","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","regional","300","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","y"
300,395,"J","OVENDEN JR. WHITE RW. ADAMS M.","Mitochondrial and allozyme genetics of two tasmanian galaxiids (Galaxias auratus and g. tanycephalus, pisces: Galaxiidae) with restricted lacustrine distributions","Heredity",1993,"10.1038/hdy.1993.33","tertiary","University of Tasmania","Australia","Tasmania","n","n","n","n","n","y","regional","50","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
301,396,"J","SLOANE RD.","The upstream movements of fish in the Plenty River, Tasmania.","Papers & Proceedings - Royal Society of Tasmania",1984,"keep","tertiary","University of Tasmania","Australia","Tasmania","y","y","n","n","n","y","reach","0.005","y","0.5","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
302,397,"J","SLOANE RD.","Distribution, abundance, growth and food of freshwater eels (Anguilla spp.)in the douglas river, tasmania","Marine and Freshwater Research",1984,"10.1071/MF9840325","govt","Inland fisheries commission","Australia","Tasmania","n","n","n","n","n","y","basin","10","n","na","na","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","y","n","n","n"
