"ID","name","value"
72,"a_5","HERRMANN KK"
132,"a_2","HERTONSSON P"
25,"a_2","HICKFORD MJ"
8,"a_2","HICKFORD MJH"
13,"a_2","HICKFORD MJH"
19,"a_2","HICKFORD MJH"
20,"a_1","HICKFORD MJH"
34,"a_2","HICKFORD MJH"
38,"a_1","HICKFORD MJH"
51,"a_1","HICKFORD MJH"
57,"a_1","HICKFORD MJH"
83,"a_1","HICKFORD MJH"
85,"a_1","HICKFORD MJH"
94,"a_1","HICKFORD MJH"
89,"a_4","HICKS A"
95,"a_1","HICKS A"
1,"a_1","HICKS AS"
15,"a_5","HICKS AS"
32,"a_1","HICKS AS"
65,"a_2","HICKS AS"
72,"a_4","HICKS AS"
91,"a_1","HICKS AS"
60,"a_2","HICKS BJ"
77,"a_2","HICKS BJ"
156,"a_2","HICKS BJ"
198,"a_1","HICKS BJ"
98,"a_2","HICKS M"
249,"a_2","HICKS M"
224,"a_1","HINE PM"
225,"a_1","HINE PM"
123,"a_2","HOBBS RP"
60,"a_5","HOGG ID"
55,"a_4","HOKIANGA HT"
133,"a_4","HOLMQVIST N"
222,"a_1","HOPKINS CL"
223,"a_1","HOPKINS CL"
40,"a_3","HUENE N"
41,"a_3","HUENE NI"
274,"a_1","HUGO CC"
236,"a_1","HUMPHRIES P"
260,"a_1","HUMPHRIES P"
39,"a_1","HUSTLER K"
56,"a_1","HUSTLER K"
71,"a_4","IERODIACONOU D"
145,"a_3","IGLESIAS G"
53,"a_2","IIDA M"
205,"a_3","IVANTSOFF W"
117,"a_6","IZQUIERDO MS"
267,"a_1","JACKSON PD"
150,"a_3","JAMES G"
185,"a_3","JAMES GD"
3,"a_4","JARA A"
15,"a_2","JARVIS M"
1,"a_2","JARVIS MG"
32,"a_2","JARVIS MG"
48,"a_1","JELLYMAN PG"
65,"a_3","JELLYMAN PG"
237,"a_11","JEPPESEN E"
265,"a_1","JOHNSON CR"
285,"a_1","JOHNSON CR"
71,"a_3","JONES P"
29,"a_1","JONES PE"
44,"a_3","JORGE MACCHI P"
138,"a_2","JOWETT IG"
147,"a_4","JOWETT IG"
169,"a_1","JOWETT IG"
196,"a_1","JOWETT IG"
202,"a_1","JOWETT IG"
50,"a_2","JOY MK"
64,"a_2","JOY MK"
87,"a_2","JOY MK"
44,"a_1","JUNCOS R"
100,"a_1","JUNG CA"
16,"a_1","KAEMINGK MA"
118,"a_1","KATTEL GR"
53,"a_4","KEITH K"
72,"a_6","KELLY DW"
188,"a_2","KELLY GR"
24,"a_3","KEYSER LM"
60,"a_4","KIMBERLEY MO"
152,"a_1","KING KJ"
136,"a_2","KLISKEY AD"
140,"a_3","KLISKEY AD"
243,"a_3","KLISKEY AD"
195,"a_2","KOEHN JD"
166,"a_2","KONUI G"
231,"a_4","KOSTER W"
17,"a_5","KRABBENHOFT CA"
47,"a_2","KRKOSEK M"
253,"a_1","KUSABS IA"
132,"a_7","LAKOWITZ C"
219,"a_2","LAMBERT DM"
126,"a_2","LAMBERT P"
168,"a_2","LAMBERT PW"
43,"a_3","LANCELOTTI M"
237,"a_8","LANDKILDEHUS F"
114,"a_3","LARNED ST"
6,"a_6","LATTUCA ME"
30,"a_6","LATTUCA ME"
59,"a_3","LATTUCA ME"
97,"a_3","LATTUCA ME"
145,"a_5","LATTUCA ME"
71,"a_1","LAURENSON LJB"
232,"a_1","LAWRENCE C"
233,"a_5","LAWRENCE CS"
72,"a_3","LILL AWT"
33,"a_3","LINDSAY P"
77,"a_4","LING N"
47,"a_3","LOKMAN PM"
49,"a_3","LOKMAN PM"
62,"a_3","LOKMAN PM"
86,"a_3","LOKMAN PM"
53,"a_3","LORD C"
90,"a_2","LOZADA M"
183,"a_3","LOZADA M"
24,"a_5","LU J"
251,"a_4","LYON GL"
61,"a_3","MACCHI PJ"
80,"a_5","MACCHI PJ"
120,"a_1","MACCHI PJ"
167,"a_3","MACCHI PJ"
186,"a_1","MACCHI PJ"
111,"a_1","MACDONALD JI"
251,"a_2","MAIN MR"
112,"a_5","MANCILLA M"
23,"a_4","MANOSALVA AJ"
84,"a_3","MARDONES-LAZCANO A"
106,"a_1","MARDONES A"
112,"a_2","MARIN SL"
39,"a_3","MARTIN Z"
277,"a_1","MC DOWALL RM"
76,"a_2","MCDOWALL RM"
130,"a_1","MCDOWALL RM"
158,"a_1","MCDOWALL RM"
173,"a_1","MCDOWALL RM"
188,"a_1","MCDOWALL RM"
199,"a_1","MCDOWALL RM"
202,"a_3","MCDOWALL RM"
206,"a_1","MCDOWALL RM"
208,"a_1","MCDOWALL RM"
217,"a_1","MCDOWALL RM"
228,"a_2","MCDOWALL RM"
230,"a_1","MCDOWALL RM"
241,"a_1","MCDOWALL RM"
244,"a_1","MCDOWALL RM"
245,"a_1","MCDOWALL RM"
248,"a_1","MCDOWALL RM"
251,"a_1","MCDOWALL RM"
266,"a_1","MCDOWALL RM"
268,"a_1","MCDOWALL RM"
272,"a_1","MCDOWALL RM"
288,"a_1","MCDOWALL RM"
291,"a_1","MCDOWALL RM"
50,"a_1","MCEWAN AJ"
64,"a_1","MCEWAN AJ"
87,"a_1","MCEWAN AJ"
27,"a_2","MCHUGH PA"
45,"a_2","MCHUGH PA"
45,"a_4","MCINTOSH AR"
70,"a_3","MCINTOSH AR"
88,"a_3","MCINTOSH AR"
132,"a_9","MCINTOSH AR"
133,"a_5","MCINTOSH AR"
134,"a_2","MCINTOSH AR"
136,"a_3","MCINTOSH AR"
140,"a_2","MCINTOSH AR"
142,"a_2","MCINTOSH AR"
180,"a_1","MCINTOSH AR"
243,"a_4","MCINTOSH AR"
113,"a_1","MCLEAN F"
237,"a_10","MEERHOFF M"
4,"a_1","MERCER M"
52,"a_2","MEREDITH AS"
232,"a_4","MEREDITH D"
226,"a_1","MERRILEES MJ"
28,"a_1","MILANO D"
44,"a_2","MILANO D"
61,"a_1","MILANO D"
90,"a_1","MILANO D"
145,"a_4","MILANO D"
167,"a_4","MILANO D"
153,"a_3","MILLER R"
216,"a_1","MITCHELL CP"
218,"a_1","MITCHELL CP"
221,"a_1","MITCHELL CP"
257,"a_1","MITCHELL CP"
291,"a_2","MITCHELL CP"
211,"a_1","MODENUTTI BE"
71,"a_9","MONK J"
164,"a_2","MONTGOMERY JC"
175,"a_2","MONTGOMERY JC"
177,"a_2","MONTGOMERY JC"
101,"a_2","MORGAN DL"
122,"a_1","MORGAN DL"
123,"a_3","MORGAN DL"
129,"a_2","MORGAN DL"
233,"a_3","MORGAN DL"
234,"a_1","MORGAN DL"
238,"a_1","MORGAN DL"
109,"a_2","MORRICONI E"
89,"a_3","MORRONGIELLO J"
3,"a_2","MUNOZ-RAMIREZ CP"
86,"a_2","NICHOL EC"
114,"a_2","NIKORA VI"
147,"a_1","NIKORA VI"
132,"a_1","NILSSON E"
1,"a_6","NORMAN MD"
32,"a_5","NORMAN MD"
132,"a_8","NYSTROM P"
133,"a_3","NYSTROM P"
7,"a_2","O'BRIEN LK"
239,"a_1","O'BRIEN Q"
231,"a_5","O'CONNOR J"
195,"a_1","O'CONNOR WG"
40,"a_5","ODA E"
132,"a_5","OLSSON K"
133,"a_1","OLSSON K"
19,"a_1","ORCHARD DSE"
25,"a_1","ORCHARD S"
287,"a_1","ORCHARD S"
145,"a_2","ORTUBAY S"
271,"a_1","OTS JP"
235,"a_1","OVENDEN JR"
294,"a_1","OVENDEN JR"
36,"a_3","OYARZUN R"
15,"a_3","OZKUNDAKCI D"
120,"a_2","PASCUAL MA"
24,"a_1","PEARCE J"
221,"a_2","PENLINGTON BP"
30,"a_2","PEREZ AF"
97,"a_2","PEREZ AF"
104,"a_2","PEREZ AF"
63,"a_1","PHAM L"
92,"a_2","PIEDRA P"
23,"a_3","PINGRAM MA"
77,"a_3","PITKETHLEY R"
114,"a_1","PLEW DR"
229,"a_1","POLLARD DA"
273,"a_1","POLLARD DA"
275,"a_1","POLLARD DA"
278,"a_1","POLLARD DA"
279,"a_1","POLLARD DA"
280,"a_1","POLLARD DA"
36,"a_5","POULIN E"
40,"a_6","POULIN E"
41,"a_6","POULIN E"
72,"a_1","POULIN R"
141,"a_2","PREMOLI AC"
171,"a_3","QUINN J"
49,"a_2","RAMEZANI J"
71,"a_7","RATTRAY A"
189,"a_1","REEBS SG"
15,"a_6","REID M"
187,"a_1","REVENGA J"
127,"a_1","REVENGA JE"
137,"a_1","REVENGA JE"
242,"a_1","REVENGA JE"
138,"a_3","RICHARDSON J"
176,"a_1","RICHARDSON J"
192,"a_4","RICHARDSON J"
202,"a_2","RICHARDSON J"
249,"a_3","RICHARDSON J"
59,"a_5","RIMBAU S"
162,"a_2","RITCHIE PA"
35,"a_5","RIVA"
272,"a_2","ROBERTSON DA"
183,"a_2","ROCCO V"
5,"a_2","RODRIGUEZ P"
6,"a_7","ROJO JH"
9,"a_1","ROJO JH"
21,"a_1","ROJO JH"
35,"a_6","ROSSI C"
150,"a_1","ROWE D"
249,"a_1","ROWE D"
98,"a_1","ROWE DK"
108,"a_1","ROWE DK"
155,"a_1","ROWE DK"
166,"a_1","ROWE DK"
171,"a_1","ROWE DK"
172,"a_1","ROWE DK"
176,"a_2","ROWE DK"
192,"a_1","ROWE DK"
197,"a_1","ROWE DK"
209,"a_1","ROWE DK"
213,"a_1","ROWE DK"
84,"a_4","RUEDA T"
36,"a_1","RUIZ-JARABO I"
232,"a_2","RUTHERFORD N"
11,"a_4","RUZZANTE DE"
66,"a_3","RUZZANTE DE"
68,"a_4","RUZZANTE DE"
81,"a_4","RUZZANTE DE"
92,"a_3","RUZZANTE DE"
264,"a_1","RYAN PA"
233,"a_2","RYAN TJ"
24,"a_2","SABETIAN A"
182,"a_2","SAGAR PM"
254,"a_2","SAGAR PM"
258,"a_2","SAGAR PM"
263,"a_1","SAGAR PM"
272,"a_3","SAITO R"
117,"a_4","SALGADO IA"
40,"a_2","SALINAS P"
41,"a_2","SALINAS P"
240,"a_4","SAM A"
17,"a_3","SAMANIEGO CA"
213,"a_2","SAXTON BA"
187,"a_2","SCHEINERT P"
215,"a_2","SCHICKER KP"
8,"a_3","SCHIEL DR"
13,"a_3","SCHIEL DR"
19,"a_3","SCHIEL DR"
20,"a_3","SCHIEL DR"
34,"a_3","SCHIEL DR"
38,"a_2","SCHIEL DR"
51,"a_2","SCHIEL DR"
57,"a_2","SCHIEL DR"
83,"a_2","SCHIEL DR"
85,"a_2","SCHIEL DR"
94,"a_3","SCHIEL DR"
287,"a_2","SCHIEL DR"
4,"a_2","SEARLE PC"
161,"a_2","SEMENAS L"
191,"a_2","SEMENAS L"
201,"a_1","SEMENAS L"
124,"a_2","SEMENAS LG"
135,"a_2","SEMENAS LG"
78,"a_1","SEMMENS D"
82,"a_1","SEMMENS D"
89,"a_5","SEMMENS D"
117,"a_5","SERRANO EA"
16,"a_4","SHIMA JS"
174,"a_2","SHIRLEY M"
127,"a_3","SIEGMUND I"
242,"a_3","SIEGMUND I"
174,"a_4","SINCLAIR KM"
262,"a_1","SLOANE RD"
295,"a_1","SLOANE RD"
42,"a_2","SMITH J"
155,"a_2","SMITH J"
171,"a_2","SMITH J"
172,"a_2","SMITH J"
46,"a_2","SMITH JP"
98,"a_3","SMITH JP"
108,"a_2","SMITH JP"
119,"a_2","SMITH JP"
176,"a_3","SMITH JP"
128,"a_4","SORENSEN PW"
213,"a_3","STANCLIFF AG"
215,"a_3","STANCLIFF AG"
132,"a_3","STENBERG M"
132,"a_6","STENROTH P"
133,"a_2","STENROTH P"
20,"a_2","STEVENS JCB"
34,"a_1","STEVENS JCB"
157,"a_2","STOFFELS RJ"
289,"a_1","STOKELL G"
231,"a_6","STUART I"
126,"a_1","SUREN AM"
206,"a_2","SUREN AM"
214,"a_1","SWALES S"
253,"a_2","SWALES S"
256,"a_1","SWALES S"
16,"a_2","SWEARER SE"
78,"a_2","SWEARER SE"
82,"a_2","SWEARER SE"
89,"a_7","SWEARER SE"
91,"a_3","SWEARER SE"
95,"a_3","SWEARER SE"
100,"a_3","SWEARER SE"
102,"a_2","SWEARER SE"
103,"a_2","SWEARER SE"
105,"a_3","SWEARER SE"
107,"a_2","SWEARER SE"
113,"a_3","SWEARER SE"
121,"a_2","SWEARER SE"
114,"a_4","SYKES JRE"
147,"a_5","SYKES JRE"
170,"a_2","SYKES JRE"
43,"a_1","TAGLIAFERRO M"
30,"a_3","TAGLIAFERRO ME"
55,"a_3","TAIPETI KWT"
183,"a_4","TARTAROTTI B"
150,"a_4","TAYLOR M"
185,"a_1","TAYLOR MJ"
